DEBUG erltty.c:81: pid is 2188
DEBUG erltty.c:87: Pipe created:
DEBUG erltty.c:88: Process 2188 opening erlpipe
DEBUG erltty.c:91: Erlpipe opened
DEBUG erltty.c:113: Opened serial port: /dev/ttyUSB0
DEBUG erltty.c:119: Baud rate set to: 230400
DEBUG erltty.c:188: Read 1 bytes from Erlang
DEBUG erltty.c:190: Wrote 1 bytes to serial:
DEBUG erltty.c:188: Read 9 bytes from Erlang
DEBUG erltty.c:190: Wrote 9 bytes to serial:
DEBUG erltty.c:188: Read 21 bytes from Erlang
DEBUG erltty.c:190: Wrote 21 bytes to serial:
DEBUG erltty.c:188: Read 13 bytes from Erlang
DEBUG erltty.c:190: Wrote 13 bytes to serial:
DEBUG erltty.c:188: Read 2 bytes from Erlang
DEBUG erltty.c:190: Wrote 2 bytes to serial:
DEBUG erltty.c:188: Read 9 bytes from Erlang
DEBUG erltty.c:190: Wrote 9 bytes to serial:
DEBUG erltty.c:188: Read 2 bytes from Erlang
DEBUG erltty.c:190: Wrote 2 bytes to serial:
DEBUG erltty.c:188: Read 9 bytes from Erlang
DEBUG erltty.c:190: Wrote 9 bytes to serial:
DEBUG erltty.c:188: Read 2 bytes from Erlang
DEBUG erltty.c:190: Wrote 2 bytes to serial:
DEBUG erltty.c:188: Read 7 bytes from Erlang
DEBUG erltty.c:190: Wrote 7 bytes to serial:
DEBUG erltty.c:188: Read 2 bytes from Erlang
DEBUG erltty.c:190: Wrote 2 bytes to serial:
DEBUG erltty.c:188: Read 15 bytes from Erlang
DEBUG erltty.c:190: Wrote 15 bytes to serial:
DEBUG erltty.c:188: Read 2 bytes from Erlang
DEBUG erltty.c:190: Wrote 2 bytes to serial:
DEBUG erltty.c:188: Read 32 bytes from Erlang
DEBUG erltty.c:190: Wrote 32 bytes to serial:
DEBUG erltty.c:188: Read 2 bytes from Erlang
DEBUG erltty.c:190: Wrote 2 bytes to serial:
DEBUG erltty.c:188: Read 66 bytes from Erlang
DEBUG erltty.c:190: Wrote 66 bytes to serial:
DEBUG erltty.c:188: Read 2 bytes from Erlang
DEBUG erltty.c:190: Wrote 2 bytes to serial:
DEBUG erltty.c:188: Read 48 bytes from Erlang
DEBUG erltty.c:190: Wrote 48 bytes to serial:
DEBUG erltty.c:188: Read 42 bytes from Erlang
DEBUG erltty.c:190: Wrote 42 bytes to serial:
DEBUG erltty.c:188: Read 2 bytes from Erlang
DEBUG erltty.c:190: Wrote 2 bytes to serial:
DEBUG erltty.c:188: Read 67 bytes from Erlang
DEBUG erltty.c:190: Wrote 67 bytes to serial:
DEBUG erltty.c:188: Read 57 bytes from Erlang
DEBUG erltty.c:190: Wrote 57 bytes to serial:
DEBUG erltty.c:188: Read 2 bytes from Erlang
DEBUG erltty.c:190: Wrote 2 bytes to serial:
DEBUG erltty.c:188: Read 55 bytes from Erlang
DEBUG erltty.c:190: Wrote 55 bytes to serial:
DEBUG erltty.c:188: Read 55 bytes from Erlang
DEBUG erltty.c:190: Wrote 55 bytes to serial:
DEBUG erltty.c:188: Read 53 bytes from Erlang
DEBUG erltty.c:190: Wrote 53 bytes to serial:
DEBUG erltty.c:188: Read 46 bytes from Erlang
DEBUG erltty.c:190: Wrote 46 bytes to serial:
DEBUG erltty.c:188: Read 2 bytes from Erlang
DEBUG erltty.c:190: Wrote 2 bytes to serial:
DEBUG erltty.c:188: Read 55 bytes from Erlang
DEBUG erltty.c:190: Wrote 55 bytes to serial:
DEBUG erltty.c:188: Read 55 bytes from Erlang
DEBUG erltty.c:190: Wrote 55 bytes to serial:
DEBUG erltty.c:188: Read 53 bytes from Erlang
DEBUG erltty.c:190: Wrote 53 bytes to serial:
DEBUG erltty.c:188: Read 46 bytes from Erlang
DEBUG erltty.c:190: Wrote 46 bytes to serial:
DEBUG erltty.c:188: Read 2 bytes from Erlang
DEBUG erltty.c:190: Wrote 2 bytes to serial:
DEBUG erltty.c:188: Read 53 bytes from Erlang
DEBUG erltty.c:190: Wrote 53 bytes to serial:
DEBUG erltty.c:188: Read 53 bytes from Erlang
DEBUG erltty.c:190: Wrote 53 bytes to serial:
DEBUG erltty.c:188: Read 47 bytes from Erlang
DEBUG erltty.c:190: Wrote 47 bytes to serial:
DEBUG erltty.c:188: Read 40 bytes from Erlang
DEBUG erltty.c:190: Wrote 40 bytes to serial:
DEBUG erltty.c:188: Read 2 bytes from Erlang
DEBUG erltty.c:190: Wrote 2 bytes to serial:
DEBUG erltty.c:188: Read 65 bytes from Erlang
DEBUG erltty.c:190: Wrote 65 bytes to serial:
DEBUG erltty.c:188: Read 54 bytes from Erlang
DEBUG erltty.c:190: Wrote 54 bytes to serial:
DEBUG erltty.c:188: Read 18 bytes from Erlang
DEBUG erltty.c:190: Wrote 18 bytes to serial:
DEBUG erltty.c:188: Read 21 bytes from Erlang
DEBUG erltty.c:190: Wrote 21 bytes to serial:
DEBUG erltty.c:188: Re
